name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
Per OB2,a,o,57.758,35.1,159.588,-14.691,0.3,1.4,3.2,52,931,4262,400,0.2,7.355,,MELN,ass,,,OB ASSOCIATION/HII REGION
IC 2602,,,160.44,-64.4,289.486,-4.968,0.09,0.8,1.48,18,935,3229,151,0.031,8.345,,COCD,,-0.099,0.101,OPEN STAR CLUSTER
NGC 2168,,,92.302,24.36,186.602,2.266,0.04,0.4,0.98,26,938,3059,830,0.26,8.255,0.015,COCD,,-0.16,0.09,OPEN STAR CLUSTER
Sco OB4,a,o,258.15,-33.355,352.411,3.442,0.05,0.415,0.785,26,950,2868,1082,0.312,6.82,,COCD,ass,-0.063,0.129,OB ASSOCIATION/HII REGION
Platais 9,m,o,137.955,-43.53,266.479,3.264,0.14,1.02,2.1,27,518,2277,200,0,8.09,,COCD,,,,UNIDENTIFIED
NGC 869,,,34.74,57.145,134.621,-3.727,0.06,0.24,0.535,51,630,2233,2300,0.521,7.28,,COCD,ass,-0.3,,OPEN STAR CLUSTER
IC 4756,,,279.735,5.45,36.374,5.256,0.1,0.4,0.8,34,601,2024,483,0.208,8.79,,COCD,,-0.15,0.04,OPEN STAR CLUSTER
ASCC 88,,,256.71,-35.58,349.912,3.078,0.075,0.375,0.54,30,935,1955,1297,0.729,7,,COCD,,,,OPEN STAR CLUSTER
NGC 5822,,,226.118,-54.39,321.592,3.59,0.03,0.3,0.55,8,568,1817,794,0.312,8.84,0.013,COCD,,0.05,0.04,OPEN STAR CLUSTER
NGC 5139,g,o,201.697,-47.48,309.102,14.968,0.1,0.45,0.825,10,580,1717,5199,0.125,10.1,,HARR,glo,-1.445,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 2437,,,115.455,-14.805,231.86,4.078,0.04,0.35,0.57,30,837,1688,1375,0.15,8.35,,COCD,,-0.47,0.131,OPEN STAR CLUSTER
NGC 6124,,,246.315,-40.65,340.733,6.028,0.03,0.225,0.455,13,474,1631,559,0.656,8.285,,COCD,,,,OPEN STAR CLUSTER
NGC 884,,,35.513,57.145,135.017,-3.585,0.05,0.175,0.44,38,311,1609,2345,0.56,7.2,,COCD,ass,-0.3,,OPEN STAR CLUSTER
NGC 2099,,,88.088,32.57,177.626,3.109,0.06,0.19,0.485,65,431,1560,1400,0.35,8.55,,COCD,,0.089,0.14,OPEN STAR CLUSTER
NGC 7789,,,359.355,56.73,115.539,-5.364,0.05,0.24,0.415,71,755,1430,1800,0.221,9.265,0.009,COCD,,-0.24,0.09,OPEN STAR CLUSTER
Collinder 65,,,81.525,15.67,188.889,-10.871,0.1,1,1.5,13,592,1426,325,0.135,8.065,,COCD,,,,OPEN STAR CLUSTER
Platais 8,,,136.875,-59.16,277.533,-7.832,0.05,0.62,1.5,4,301,1377,141,0,7.75,,COCD,,-0.292,0.101,OPEN STAR CLUSTER
NGC 2546,,,122.963,-37.61,254.824,-2.06,0.04,0.275,0.565,14,346,1267,935,0.146,8.135,0.072,COCD,,0.12,0.13,OPEN STAR CLUSTER
NGC 1912,,,82.215,35.8,172.311,0.701,0.025,0.16,0.39,12,296,1229,1144,0.333,8.35,,COCD,,,,OPEN STAR CLUSTER
NGC 2477,,,118.035,-38.53,253.561,-5.842,0.05,0.31,0.45,36,770,1209,1450,0.291,8.915,0.007,COCD,,-0.192,0.074,OPEN STAR CLUSTER
NGC 6231,a,c,253.56,-41.83,343.469,1.17,0.04,0.23,0.4,24,461,1207,1393,0.562,7.05,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 7654,,,351.177,61.637,112.823,0.479,0.025,0.165,0.325,17,407,1137,1350,0.65,7.9,,COCD,,,,OPEN STAR CLUSTER
IC 1396,,,324.75,57.49,99.295,3.735,0.075,0.24,0.74,18,114,1068,600,0.421,6,,COCD,,,,OPEN STAR CLUSTER
ASCC 13,,,78.45,44.595,163.439,3.339,0.05,0.26,0.68,6,150,1007,800,0.2,7.71,,COCD,,,,OPEN STAR CLUSTER
Loden 624,,,186.577,-61.8,299.968,0.927,0.03,0.2,0.32,14,398,999,1423,0.416,7.6,,DIAS,,,,OPEN STAR CLUSTER
Johansson 1,,,236.562,-52.378,327.892,1.811,0.02,0.195,0.3,5,374,923,869,0.171,8.725,,DIAS,,,,OPEN STAR CLUSTER
NGC 2682,,,132.847,11.815,215.691,31.923,0.1,0.55,1.03,147,637,907,890,0.05,9.535,0.009,COCD,,-0.102,0.081,OPEN STAR CLUSTER
Cyg OB2,a,o,308.317,41.32,80.231,0.788,0.04,0.26,0.425,29,464,904,1593,1.832,6.72,,COCD,ass,,,OB ASSOCIATION/HII REGION
NGC 1582,,,67.875,43.79,159.25,-3.027,0.035,0.13,0.41,13,88,890,1000,0.2,8.665,0.069,COCD,,,,OPEN STAR CLUSTER
King 7,,,59.778,51.782,149.799,-1.022,0.05,0.185,0.35,81,384,886,2628,1.249,8.85,0.014,DIAS,,,,OPEN STAR CLUSTER
NGC 2447,,,116.145,-23.86,240.051,0.149,0.04,0.25,0.5,30,338,882,1037,0.05,8.68,0.022,COCD,,-0.095,0.11,OPEN STAR CLUSTER
IC 1276,g,o,272.683,-7.208,21.831,5.669,0.05,0.16,0.29,73,397,882,5399,1.083,10.1,,HARR,glo,-0.65,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Turner 9,,,296.205,29.26,64.757,2.502,0.07,0.435,0.555,9,519,870,852,0.15,8.03,,COCD,,,,OPEN STAR CLUSTER
Cep OB3,a,o,345.983,63.39,111.233,2.987,0.02,0.145,0.59,3,62,866,668,0.55,7.75,,COCD,ass,,,OB ASSOCIATION/HII REGION
NGC 6475,,,268.44,-34.78,355.863,-4.478,0.06,0.37,0.7,14,309,857,303,0.219,8.25,,COCD,,0.14,0.06,OPEN STAR CLUSTER
NGC 1746,,,76.14,23.83,179.125,-10.476,0.05,0.3,0.6,29,299,854,800,0.3,8.64,0.025,COCD,,,,OPEN STAR CLUSTER
Platais 6,m,o,93.765,3.85,205.32,-6.3,0.045,0.7,1.3,2,214,847,347,0,7.96,0.006,COCD,,,,UNIDENTIFIED
NGC 7082,,,322.2,47.11,91.127,-2.86,0.04,0.15,0.325,17,199,832,1300,0.239,8.002,0.17,COCD,,-0.01,0.15,OPEN STAR CLUSTER
Roslund 5,,,302.595,33.78,71.455,0.214,0.03,0.215,0.415,7,261,817,508,0.062,7.57,,COCD,,,,OPEN STAR CLUSTER
Trumpler 5,,,99.12,9.47,202.807,1.018,0.04,0.225,0.35,37,474,792,2753,0.625,9.5,,DIAS,var,-0.3,0.15,OPEN STAR CLUSTER
Cam OB3,a,o,60.195,56.45,146.938,2.676,0.11,0.3,0.66,34,182,774,2801,2.109,7.105,0.055,MELN,ass,,,OB ASSOCIATION/HII REGION
NGC 7243,,,333.795,49.875,98.85,-5.547,0.06,0.25,0.6,17,198,773,850,0.221,7.965,0.071,COCD,,,,OPEN STAR CLUSTER
IC 4725,,,277.928,-19.11,13.7,-4.415,0.035,0.235,0.38,8,320,771,561,0.479,7.97,,COCD,,-0.257,0.14,OPEN STAR CLUSTER
Ruprecht 64,,,129.27,-40.185,259.755,0.47,0.04,0.26,0.45,10,265,762,619,0.125,8.45,,COCD,,,,OPEN STAR CLUSTER
Cep OB5,a,o,345.567,57.022,108.462,-2.751,0.025,0.13,0.3,14,162,761,1819,0.625,7.5,,MELN,ass,,,OB ASSOCIATION/HII REGION
Ruprecht 113,,,239.385,-59.495,324.624,-4.706,0.03,0.265,0.45,3,266,756,810,0.15,8.345,0.215,COCD,,,,OPEN STAR CLUSTER
Platais 12,,,208.148,-63.405,309.713,-1.341,0.05,0.35,0.57,18,333,751,491,0.135,8.4,,COCD,,0.027,0.124,OPEN STAR CLUSTER
NGC 2323,,,105.68,-8.37,221.662,-1.321,0.03,0.235,0.46,8,296,738,902,0.229,8.255,,COCD,,,,OPEN STAR CLUSTER
NGC 2158,,,91.857,24.092,186.639,1.781,0.04,0.14,0.25,55,346,730,4770,0.333,9.33,,DIAS,,-0.25,0.09,OPEN STAR CLUSTER
NGC 188,,,11.85,85.255,122.842,22.384,0.035,0.295,0.57,30,402,724,2000,0.085,9.65,,DIAS,,-0.01,0.09,OPEN STAR CLUSTER
NGC 6366,g,o,261.935,-5.08,18.409,16.035,0.04,0.23,0.45,20,311,721,3503,0.708,10,,HARR,glo,-0.545,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Harvard 10,a,c,244.732,-54.92,329.858,-3.288,0.055,0.195,0.38,19,181,711,1441,0.333,7.97,,COCD,,,,OB ASSOCIATION/HII REGION
ASCC 79,,,229.665,-60.63,320.039,-2.745,0.05,0.28,0.51,11,203,703,871,0.312,6.95,,COCD,,,,OPEN STAR CLUSTER
ASCC 125,a,c,344.123,62.722,110.188,2.73,0.07,0.22,0.55,43,163,701,569,0.7,6.7,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 2516,,,119.49,-60.75,273.806,-15.866,0.095,0.405,0.71,41,313,698,373,0.071,8.475,,COCD,,-0.373,0.098,OPEN STAR CLUSTER
Cas OB1,a,o,15.06,61.46,123.983,-1.394,0.075,0.33,0.6,13,198,694,3000,2.251,7.033,0.062,MELN,ass,,,OB ASSOCIATION/HII REGION
Tombaugh 5,,,57.015,59.07,143.956,3.609,0.02,0.13,0.27,11,224,688,1350,0.55,8.846,0.014,COCD,,,,OPEN STAR CLUSTER
ASCC 80,,,231.188,-60.128,320.945,-2.732,0.02,0.17,0.315,5,207,688,1281,0.396,8.375,,COCD,,,,OPEN STAR CLUSTER
NGC 6939,,,307.882,60.66,95.904,12.3,0.05,0.2,0.32,78,402,668,1800,0.31,9.27,,DIAS,var,0,0.1,OPEN STAR CLUSTER
Stock 2,,,33.66,59.44,133.339,-1.74,0.15,0.925,1.7,29,366,661,400,0.339,8.44,,COCD,,-0.14,0.2,OPEN STAR CLUSTER
Cep OB4,a,o,0.735,67.5,118.304,5.065,0.12,0.345,0.76,61,198,654,850,1.099,6.1,,MELN,ass,,,OB ASSOCIATION/HII REGION
Cir OB1,a,o,221.25,-62.925,315.446,-2.846,0.04,0.24,0.35,9,293,644,1783,2.311,6.8,,MELN,ass,,,OB ASSOCIATION/HII REGION
NGC 744,,,29.645,55.478,132.406,-6.154,0.04,0.195,0.345,19,243,629,1382,0.381,8.375,,COCD,,,,OPEN STAR CLUSTER
NGC 1528,,,63.847,51.19,152.075,0.24,0.05,0.16,0.45,13,107,627,950,0.25,8.55,,COCD,,,,OPEN STAR CLUSTER
FSR 0133,,,292.437,15.553,51.099,-1.169,0.02,0.125,0.26,23,239,626,2814,2.186,8.415,,DIAS,irc,,,OPEN STAR CLUSTER
Collinder 110,,,99.675,2.035,209.667,-1.904,0.02,0.175,0.35,7,246,623,2362,0.416,9.22,0.01,DIAS,,,,OPEN STAR CLUSTER
NGC 7039,,,317.763,45.733,87.994,-1.658,0.02,0.13,0.29,8,153,623,1550,0.221,8.655,0.069,COCD,,,,OPEN STAR CLUSTER
Melotte 20,,,51.675,48.8,147.487,-6.527,0.25,2,6.1,12,209,621,175,0.09,7.7,,COCD,ass,,,OPEN STAR CLUSTER
Berkeley 85,,,304.688,37.73,75.683,0.992,0.03,0.125,0.245,30,236,621,1760,0.77,9.065,0.019,DIAS,,,,OPEN STAR CLUSTER
NGC 1647,,,71.498,19.17,180.302,-16.725,0.035,0.45,0.75,8,320,618,572,0.354,8.3,0.057,COCD,,,,OPEN STAR CLUSTER
ASCC 104,,,294.743,18.665,54.89,-1.587,0.02,0.17,0.4,3,112,617,774,0.333,7.71,,COCD,,,,OPEN STAR CLUSTER
NGC 104,g,o,6.005,-72.081,305.903,-44.889,0.2,0.53,0.95,70,394,598,4501,0.042,10.1,,HARR,glo,-0.645,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Skiff J0058+68.4,,,14.543,68.465,123.553,5.601,0.02,0.18,0.32,8,261,598,2000,0.65,9.01,0.012,DIAS,,,,OPEN STAR CLUSTER
King 1,,,5.516,64.384,119.763,1.693,0.025,0.1,0.22,27,205,596,1659,0.625,9.7,,DIAS,,,,OPEN STAR CLUSTER
NGC 2548,,,123.435,-5.77,227.893,15.388,0.05,0.47,0.72,15,344,596,789,0.042,8.72,0.017,COCD,,0.08,0.02,OPEN STAR CLUSTER
Sgr OB7,a,o,273.72,-20.32,10.777,-1.477,0.03,0.23,0.48,5,144,592,1481,0.458,6.45,,COCD,ass,0.03,0.1,OB ASSOCIATION/HII REGION
NGC 2112,,,88.433,0.413,205.867,-12.618,0.04,0.35,0.62,17,378,584,977,0.625,9.315,,DIAS,,0.16,0.03,OPEN STAR CLUSTER
NGC 6494,,,269.228,-19,9.862,2.859,0.035,0.28,0.55,5,185,578,648,0.437,8.515,0.027,COCD,,0.09,0.11,OPEN STAR CLUSTER
NGC 5316,,,208.485,-61.87,310.228,0.113,0.04,0.165,0.26,19,262,570,1208,0.312,8.23,,COCD,,0.045,0.13,OPEN STAR CLUSTER
NGC 957,,,38.377,57.573,136.302,-2.625,0.04,0.17,0.29,28,238,568,1900,0.631,7.25,,COCD,,,,OPEN STAR CLUSTER
Collinder 463,,,27.3,71.78,127.465,9.418,0.05,0.22,0.51,9,121,567,800,0.3,8.45,0.066,COCD,,,,OPEN STAR CLUSTER
IC 166,,,28.095,61.865,130.05,-0.162,0.04,0.125,0.245,42,205,566,4801,0.849,9,0.011,DIAS,,-0.178,0.2,OPEN STAR CLUSTER
ASCC 68,,,180.713,-60.92,297.06,1.397,0.035,0.17,0.3,13,172,537,920,0.094,8.6,,COCD,,,,OPEN STAR CLUSTER
ASCC 77,a,c,212.7,-62.33,312.001,-0.864,0.02,0.15,0.265,3,188,536,2041,0.468,6.75,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 2360,,,109.425,-15.64,229.804,-1.429,0.03,0.15,0.3,20,191,535,1560,0.416,8.65,0.018,COCD,,-0.03,0.01,OPEN STAR CLUSTER
NGC 559,,,22.38,63.302,127.194,0.746,0.03,0.15,0.3,19,210,528,2200,0.6,8.8,,DIAS,,,,OPEN STAR CLUSTER
ASCC 105,,,295.39,27.383,62.77,2.193,0.04,0.225,0.47,4,103,524,494,0.104,7.91,,COCD,,,,OPEN STAR CLUSTER
NGC 6025,a,c,240.817,-60.4,324.571,-5.859,0.02,0.19,0.345,6,192,523,763,0.208,8.18,,COCD,,0.19,,OB ASSOCIATION/HII REGION
NGC 663,,,26.55,61.225,129.475,-0.949,0.035,0.1,0.24,17,113,516,2100,0.7,7.5,,COCD,,,,OPEN STAR CLUSTER
NGC 6242,a,c,253.89,-39.46,345.471,2.465,0.03,0.11,0.215,22,171,516,1184,0.416,7.55,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 1039,,,40.55,42.79,143.665,-15.579,0.16,0.375,0.73,106,290,513,510,0.077,8.383,0.077,COCD,,0.07,0.03,OPEN STAR CLUSTER
ASCC 97,,,279.225,-19.22,14.161,-5.557,0.03,0.15,0.34,5,110,513,591,0.437,7.88,,COCD,,0.129,0.08,OPEN STAR CLUSTER
NGC 2632,,,130.095,19.69,205.892,32.488,0.2,1.81,3.1,24,396,511,187,0.01,8.92,,COCD,,0.094,0.107,OPEN STAR CLUSTER
Berkeley 50,,,302.52,34.97,72.418,0.915,0.015,0.1,0.21,6,150,508,1952,0.77,8.375,0.084,DIAS,,,,OPEN STAR CLUSTER
ASCC 55,,,148.5,-57.077,280.582,-2.115,0.02,0.145,0.275,7,154,504,970,0.208,8.45,,COCD,,,,OPEN STAR CLUSTER
Trumpler 3,,,48.053,63.15,138.068,4.493,0.04,0.235,0.47,12,163,502,620,0.221,8.005,,COCD,,,,OPEN STAR CLUSTER
ASCC 98,,,280.665,-33.65,1.535,-12.962,0.04,0.24,0.47,6,123,501,800,0.04,8.045,,COCD,,,,OPEN STAR CLUSTER
ASCC 111,a,c,302.775,37.465,74.621,2.105,0.025,0.25,0.48,3,149,501,1580,0.385,6.65,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 3114,,,150.48,-60.11,283.258,-3.882,0.04,0.205,0.345,8,180,496,944,0.079,8.3,,COCD,,0.02,0.09,OPEN STAR CLUSTER
IC 2714,,,169.365,-62.74,292.406,-1.805,0.025,0.12,0.195,13,215,494,1224,0.416,8.65,0.036,COCD,,0.01,0.01,OPEN STAR CLUSTER
NGC 1664,,,72.808,43.66,161.704,-0.437,0.02,0.19,0.31,5,231,492,1200,0.25,8.75,0.023,COCD,,,,OPEN STAR CLUSTER
Melotte 22,,,56.505,24.37,166.205,-23.483,0.35,2.5,6.2,33,307,488,130,0.021,8.15,,COCD,,-0.036,0.116,OPEN STAR CLUSTER
IC 1805,,,38.182,61.455,134.727,0.925,0.045,0.15,0.27,13,150,486,1700,0.799,7.25,,COCD,,,,OPEN STAR CLUSTER
Trumpler 20,,,189.938,-60.635,301.498,2.204,0.045,0.2,0.33,20,222,482,3311,0.312,9.325,,DIAS,,-0.11,0.13,OPEN STAR CLUSTER
Trumpler 2,,,39.367,55.95,137.438,-3.906,0.07,0.2,0.44,21,111,480,670,0.321,7.925,,COCD,,,,OPEN STAR CLUSTER
Berkeley 44,,,289.308,19.543,53.209,3.344,0.01,0.105,0.195,3,172,477,1978,1.145,9.15,,DIAS,,,,OPEN STAR CLUSTER
NGC 6705,,,282.747,-6.28,27.287,-2.759,0.03,0.15,0.35,18,129,475,1750,0.471,8.505,0.031,COCD,,0.136,0.08,OPEN STAR CLUSTER
NGC 6167,,,248.67,-49.785,335.225,-1.45,0.025,0.12,0.21,11,156,471,1216,0.854,8.19,,COCD,,,,OPEN STAR CLUSTER
NGC 1245,,,48.7,47.253,146.654,-8.908,0.025,0.19,0.37,11,243,470,3000,0.25,9.025,0.011,DIAS,,0.1,0.15,OPEN STAR CLUSTER
ASCC 86,a,c,255.562,-58.97,330.689,-10.389,0.04,0.3,0.5,7,181,466,738,0.187,8.05,,COCD,,,,OB ASSOCIATION/HII REGION
Cas OB2,a,o,349.965,60.74,111.97,-0.168,0.04,0.1,0.22,18,102,465,2800,1.249,7.3,,MELN,ass,,,OB ASSOCIATION/HII REGION
Collinder 359,,,270.12,2.875,29.654,12.643,0.04,0.44,0.8,7,164,463,640,0.16,7.45,,COCD,,,,OPEN STAR CLUSTER
NGC 1960,,,84.082,34.158,174.523,1.087,0.03,0.12,0.26,15,148,462,1200,0.25,7.565,0.078,COCD,,,,OPEN STAR CLUSTER
NGC 2422,,,114.165,-14.49,230.973,3.143,0.09,0.33,0.63,37,237,460,471,0.104,8.12,,COCD,,0.008,0.116,OPEN STAR CLUSTER
ASCC 70,,,183.705,-64.4,298.988,-1.809,0.025,0.14,0.28,6,122,460,2652,0.468,6.92,,COCD,,,,OPEN STAR CLUSTER
NGC 6539,g,o,271.207,-7.586,20.795,6.775,0.04,0.1,0.19,40,174,460,7801,1.02,9.95,,HARR,glo,-0.63,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 2539,,,122.67,-12.84,233.732,11.113,0.02,0.205,0.44,5,151,455,1232,0.146,8.735,0.022,COCD,,0.13,0.03,OPEN STAR CLUSTER
King 11,,,356.94,68.648,117.163,6.492,0.03,0.1,0.3,26,126,454,2850,0.949,9.32,,DIAS,,-0.27,0.15,OPEN STAR CLUSTER
NGC 6121,g,o,245.897,-26.526,350.973,15.972,0.065,0.47,0.885,16,392,450,2199,0.354,10.1,,HARR,glo,-0.845,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
King 6,,,52.013,56.465,143.347,-0.068,0.025,0.12,0.26,11,153,449,632,0.3,8.975,,COCD,,0.46,,OPEN STAR CLUSTER
Pismis 3,,,127.815,-38.658,257.859,0.48,0.02,0.105,0.205,9,160,449,1418,1.187,8.925,0.03,DIAS,,,,OPEN STAR CLUSTER
Czernik 21,,,81.683,36.015,171.893,0.462,0.02,0.11,0.25,14,133,446,4301,0.849,9.35,,DIAS,,,,OPEN STAR CLUSTER
NGC 2669,,,131.618,-52.94,270.838,-6.075,0.025,0.14,0.275,7,146,442,1057,0.25,8.405,,COCD,,,,OPEN STAR CLUSTER
NGC 1893,,,80.707,33.43,173.581,-1.653,0.035,0.1,0.28,16,92,439,3300,0.949,6.55,,COCD,,,,OPEN STAR CLUSTER
Loden 1225,,,212.34,-59.725,312.615,1.674,0.025,0.13,0.21,8,193,439,1330,0.25,8.67,,COCD,,,,OPEN STAR CLUSTER
ASCC 33,n,o,105.938,-25.055,236.738,-8.616,0.05,0.235,0.52,9,81,434,704,0.042,7.7,,COCD,,-0.166,0.09,NEBULA
NGC 6134,,,246.952,-49.155,334.92,-0.205,0.02,0.115,0.22,7,166,433,892,0.458,9.015,0.019,COCD,,0.15,0.07,OPEN STAR CLUSTER
NGC 2423,,,114.278,-13.85,230.466,3.549,0.04,0.195,0.45,14,126,428,824,0.062,9.025,0.014,COCD,,0.068,0.103,OPEN STAR CLUSTER
ASCC 127,r,c,347.207,64.845,112.3,4.113,0.05,0.24,0.675,4,48,427,400,0.15,7.82,,COCD,,,,OPEN STAR CLUSTER
NGC 1907,,,82.02,35.325,172.619,0.306,0.02,0.09,0.21,7,123,426,1600,0.5,8.6,,COCD,,,,OPEN STAR CLUSTER
Loden 2115,,,226.928,-54.522,321.936,3.243,0.02,0.11,0.19,9,143,423,1434,0.677,8.96,0.024,DIAS,,,,OPEN STAR CLUSTER
NGC 4103,,,181.665,-61.25,297.573,1.155,0.02,0.13,0.21,7,199,421,1659,0.302,7.755,,COCD,,,,OPEN STAR CLUSTER
Collinder 261,,,189.525,-68.367,301.697,-5.527,0.03,0.14,0.235,15,172,421,2683,0.333,9.7,,DIAS,,-0.03,0.03,OPEN STAR CLUSTER
ASCC 9,,,41.745,57.745,137.879,-1.734,0.03,0.1,0.21,11,119,415,2901,0.899,7,,COCD,,,,OPEN STAR CLUSTER
NGC 6281,,,256.17,-37.98,347.734,1.976,0.025,0.17,0.32,5,153,415,512,0.192,8.5,0.062,COCD,,0,,OPEN STAR CLUSTER
Sco OB5,a,o,268.11,-38.635,352.38,-6.183,0.025,0.17,0.31,5,126,414,2695,0.458,6.325,,COCD,ass,,,OB ASSOCIATION/HII REGION
Lynga 2,,,216.113,-61.33,313.85,-0.446,0.02,0.12,0.2,6,158,413,932,0.323,8.43,0.06,COCD,,,,OPEN STAR CLUSTER
Collinder 70,a,o,83.948,-0.88,204.863,-17.183,0.075,0.36,0.88,9,84,411,379,0.104,7.4,,COCD,,0.144,0.08,OB ASSOCIATION/HII REGION
NGC 5045,,,198.63,-63.42,305.511,-0.664,0.025,0.155,0.315,3,120,409,1662,0.458,7.955,0.159,COCD,,,,OPEN STAR CLUSTER
Loden 1409,,,221.167,-61.715,315.924,-1.733,0.035,0.15,0.26,10,147,409,2088,0.937,8,,DIAS,,,,OPEN STAR CLUSTER
ASCC 11,,,53.07,44.84,150.564,-9.231,0.05,0.21,0.41,12,145,407,837,0.271,8.345,,COCD,,,,OPEN STAR CLUSTER
Czernik 20,,,80.115,39.54,168.284,1.429,0.04,0.11,0.25,24,97,406,2000,0.6,9.19,0.048,DIAS,,,,OPEN STAR CLUSTER
NGC 4372,g,o,186.44,-72.659,300.993,-9.884,0.035,0.2,0.33,2,166,406,5807,0.389,10.1,,HARR,glo,-1.945,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Sgr OB6,a,o,272.883,-16,14.188,1.291,0.035,0.2,0.31,10,187,403,1594,0.895,7.5,,MELN,ass,,,OB ASSOCIATION/HII REGION
NGC 752,,,29.273,37.79,137.001,-23.282,0.1,0.65,1.4,4,180,402,450,0.04,9.13,,COCD,,-0.088,0.07,OPEN STAR CLUSTER
Platais 5,m,o,93.675,-22.5,229.616,-17.803,0.1,1.42,2.07,4,180,401,272,0,7.78,,DIAS,,,,UNIDENTIFIED
Turner 5,m,o,143.317,-36.41,264.307,11.193,0.05,0.4,0.9,3,69,401,400,0.1,8.49,,COCD,,-0.258,0.099,UNIDENTIFIED
NGC 2335,,,106.71,-10.03,223.604,-1.178,0.02,0.145,0.31,6,120,394,1411,0.416,8.2,,COCD,,-0.03,0.09,OPEN STAR CLUSTER
NGC 3532,,,166.455,-58.73,289.582,1.377,0.03,0.2,0.425,2,109,392,454,0.042,8.65,,COCD,,0.019,0.112,OPEN STAR CLUSTER
IC 1311,,,302.699,41.178,77.706,4.18,0.025,0.105,0.18,4,150,392,5895,0.458,9.15,,DIAS,,-0.3,0.16,OPEN STAR CLUSTER
NGC 4349,,,186.06,-61.87,299.732,0.833,0.025,0.105,0.205,15,129,390,2155,0.448,8.41,,COCD,,0.105,0.108,OPEN STAR CLUSTER
NGC 6989,r,o,313.493,45.24,85.64,0.256,0.017,0.09,0.19,7,100,389,1905,0.625,8.75,0.037,DREM,ast,,,OPEN STAR CLUSTER
NGC 6940,,,308.61,28.28,69.858,-7.15,0.025,0.18,0.4,5,129,387,844,0.21,8.98,0.024,COCD,,0.013,0.13,OPEN STAR CLUSTER
NGC 7031,,,316.774,50.875,91.325,2.315,0.02,0.065,0.17,11,80,386,1100,0.824,8.2,,DIAS,,,,OPEN STAR CLUSTER
King 25,,,291.125,13.7,48.864,-0.934,0.02,0.095,0.17,6,160,384,1796,1.332,8.45,,DREM,ast,,,OPEN STAR CLUSTER
NGC 6250,n,o,254.49,-45.95,340.676,-1.932,0.035,0.16,0.255,17,148,382,940,0.385,7.42,,COCD,,,,NEBULA
Trumpler 32,,,274.298,-13.33,17.189,1.364,0.05,0.16,0.37,26,146,382,1623,0.77,8.795,,DIAS,,,,OPEN STAR CLUSTER
ASCC 87,,,255.75,-28.45,355.15,8.011,0.025,0.175,0.3,4,148,381,838,0.26,8.55,0.085,COCD,,,,OPEN STAR CLUSTER
Loden 481,,,177.96,-61.27,295.832,0.777,0.02,0.12,0.235,4,118,380,1634,0.26,8.385,0.042,COCD,,,,OPEN STAR CLUSTER
NGC 6087,a,c,244.71,-57.94,327.723,-5.43,0.05,0.17,0.32,17,119,379,889,0.271,7.95,,COCD,,-0.01,0.06,OB ASSOCIATION/HII REGION
IRAS 01546+6319,,,29.332,63.49,130.206,1.553,0.05,0.18,0.39,13,93,378,2400,2.301,6.59,,LLEM,emb,,,OPEN STAR CLUSTER
Stock 8,n,o,82.035,34.424,173.375,-0.184,0.04,0.14,0.28,19,113,377,1731,0.604,7.05,,COCD,,,,NEBULA
FSR 0336,,,327.726,55.215,99.079,0.935,0.025,0.08,0.155,21,132,377,1116,0.5,9.1,,DIAS,irc,,,OPEN STAR CLUSTER
IC 2488,,,141.915,-57,277.832,-4.417,0.04,0.12,0.225,21,115,372,1138,0.208,8.445,,COCD,,0.1,0.06,OPEN STAR CLUSTER
NGC 5281,,,206.64,-62.925,309.157,-0.721,0.035,0.115,0.215,14,124,371,1211,0.26,7.76,,COCD,,,,OPEN STAR CLUSTER
FSR 1682,,,217.298,-58.71,315.346,1.786,0.015,0.105,0.18,7,147,370,1388,0.583,9.16,0.035,FPRO,,,,OPEN STAR CLUSTER
FSR 1714,,,237.36,-50.603,329.383,2.896,0.025,0.1,0.17,11,136,369,1608,0.833,8.5,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 3766,,,174.075,-61.615,294.126,-0.035,0.022,0.115,0.23,16,141,366,1685,0.208,7.95,,COCD,,,,OPEN STAR CLUSTER
IC 4996,,,304.14,37.64,75.365,1.3,0.025,0.1,0.22,11,95,365,1764,0.521,7.15,,COCD,,,,OPEN STAR CLUSTER
