name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
NGC 6981,g,o,313.365,-12.537,35.162,-32.683,0.025,0.075,0.13,2,13,21,16997,0.05,10.1,,HARR,glo,-1.345,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 7772,r,o,357.942,16.245,102.739,-44.275,0.044,0.22,0.45,4,10,21,1250,0.45,9.162,0.01,DIAS,rem,,,OPEN STAR CLUSTER
MWSC 5575,,,29.925,-83.05,300.484,-33.751,0.015,0.09,0.15,1,10,20,2191,0.302,9.2,,ARIs,,,,OPEN STAR CLUSTER
FSR 0578,r,o,35.016,61.102,133.433,0.05,0.02,0.06,0.1,2,13,20,2668,1.457,8.985,0.012,DIAS,irc,,,OPEN STAR CLUSTER
MWSC 5602,,,46.231,23.095,158.817,-30.319,0.02,0.08,0.155,2,9,20,1184,0.104,9.39,,ARIs,,,,OPEN STAR CLUSTER
NGC 1557,r,o,63.285,-70.465,283.768,-38.267,0.03,0.12,0.22,1,9,20,1820,0,9.5,,DIAS,rem,,,OPEN STAR CLUSTER
FSR 0966,r,o,79.38,4.418,197.66,-18.567,0.02,0.06,0.11,2,8,20,2220,0.833,8.48,0.115,FPOS,,,,OPEN STAR CLUSTER
Sh2 252C,n,o,92.337,20.66,189.857,0.504,0.01,0.038,0.085,2,8,20,2109,1.957,8.25,,BIEM,irc,,,NEBULA
vdBergh 80,n,o,97.709,-9.65,219.257,-8.929,0.02,0.085,0.13,3,11,20,2069,0.687,6.68,,DIAS,,,,NEBULA
Bochum 11,,,161.812,-60.083,288.025,-0.856,0.04,0.125,0.195,1,10,20,2261,0.4,6,,DIAS,,,,OPEN STAR CLUSTER
ESO 502-19,r,o,167.03,-26.717,276.02,30.7,0.02,0.11,0.18,3,9,20,1338,0.208,9.21,,DIAS,rem,,,OPEN STAR CLUSTER
ESO 570-12,r,o,168.045,-21.34,274.075,35.909,0.02,0.17,0.25,1,13,20,1268,0.26,9.7,,DIAS,rem,,,OPEN STAR CLUSTER
Danks 1,,,198.127,-62.708,305.345,0.065,0.015,0.035,0.05,4,13,20,1873,2.602,6,,DIAS,dub,,,OPEN STAR CLUSTER
DBSB 88,,,214.905,-65.432,311.933,-4.113,0.016,0.05,0.085,2,8,20,1366,1.874,7.85,,BOPN,irc,,,OPEN STAR CLUSTER
DBSB 116,n,o,257.4,-41.595,345.411,-0.951,0.01,0.05,0.075,1,12,20,1669,2.602,6,,BOPN,irc,,,NEBULA
NGC 6404,,,264.915,-33.233,355.675,-1.177,0.02,0.07,0.125,4,12,20,2146,1.062,8.75,,DIAS,,0.11,0.04,OPEN STAR CLUSTER
Palomar 6,g,o,265.926,-26.217,2.097,1.783,0.02,0.055,0.1,6,9,20,5802,1.457,10.05,,HARR,glo,-0.845,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
ESO 337-23,r,c,289.825,-37.62,0.506,-21.336,0.01,0.05,0.1,1,8,20,1995,0.312,9.2,,DIAS,,,,OPEN STAR CLUSTER
Kronberger 3,,,294.75,6.768,44.459,-7.375,0.017,0.045,0.08,2,8,20,3685,0.833,8.3,,DREM,ast,,,OPEN STAR CLUSTER
NGC 7006,g,o,315.372,16.187,63.769,-19.407,0.018,0.07,0.125,1,9,20,41177,0.052,10.1,,HARR,glo,-1.52,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
FSR 0379,r,c,320.61,69.33,106.248,13.55,0.02,0.065,0.12,2,10,20,2396,1.874,8.12,,FPOS,,,,OPEN STAR CLUSTER
FSR 0389,r,c,323.887,69.82,107.435,13.089,0.017,0.053,0.11,3,10,20,1988,0.958,8.9,,FPOS,,,,OPEN STAR CLUSTER
FSR 0377,,,338.655,58.295,105.748,0.063,0.01,0.03,0.05,4,13,20,2300,0.6,7.7,,DIAS,irc,,,OPEN STAR CLUSTER
MWSC 5804,,,340.973,15.04,82.787,-37.696,0.025,0.11,0.2,2,15,20,1896,0.187,9.465,,ARIs,,,,OPEN STAR CLUSTER
